file,D_m,rfis_cm,wall_thk_cm,config,particle,material,tally_14_value,tally_14_error,tally_24_value,tally_24_error,tally_34_value,tally_34_error,error,dose_14_calc,dose_14_calc_error,dose_24_calc,dose_24_calc_error,dose_34_calc,dose_34_calc_error,diff_14_pct,diff_24_pct,diff_34_pct
SR-U-UN-G1-C1-N_concrete_20cm_D700m.i,700.0,25.5476,20.0,C1,N,concrete,1.38991e-12,0.0251,1.61531e-11,0.0255,1.20606e-11,0.0302,,1.3900479724883787e-12,0.024786549378233262,1.6152403555068918e-11,0.025248547520683753,1.2061043950273923e-11,0.02999010990571227,0.009926721037954668,-0.004311524915231119,0.0036809965832727814
SR-U-UN-G1-C1-N_concrete_20cm_D1000m.i,1000.0,25.5476,20.0,C1,N,concrete,1.54725e-13,0.0192,1.7661e-12,0.0194,1.31083e-12,0.024,,1.5476185747972788e-13,0.018901828254628016,1.7663700059220343e-12,0.0190857019193103,1.3110456038884864e-12,0.023640153976100756,0.023821282745433135,0.015288257858239016,0.016447890915408762
SR-U-UN-G1-C1-N_concrete_20cm_D1200m.i,1200.0,25.5476,20.0,C1,N,concrete,3.91594e-14,0.0258,4.43379e-13,0.0251,3.28002e-13,0.0334,,3.9175357858512205e-14,0.025661215325614006,4.434474981785884e-13,0.024940767939414254,3.2808813569108096e-13,0.03324552616320102,0.04075102915826993,0.01544912559872912,0.0262607213007696
SR-U-UN-G1-C1-N_concrete_40cm_D1m.i,1.0,25.5476,40.0,C1,N,concrete,5.94788e-07,0.5169,6.20795e-06,0.6307,4.71023e-06,0.6958,,5.976683153030737e-07,0.5169476454507638,6.241068282525064e-06,0.6302483250471514,4.76088658843602e-06,0.6946117473813741,0.4842591483139791,0.533481785856259,1.075458914660648
SR-U-UN-G1-C1-N_concrete_40cm_D2m.i,2.0,25.5476,40.0,C1,N,concrete,5.19409e-07,0.0237,5.29925e-06,0.0216,4.56653e-06,0.0203,,5.198764768687071e-07,0.020631330544293443,5.300482084256391e-06,0.019445513224033702,4.567410524293595e-06,0.0184542858847047,0.09000168820855053,0.02325016287948203,0.019282130930827777
SR-U-UN-G1-C1-N_concrete_40cm_D5m.i,5.0,25.5476,40.0,C1,N,concrete,8.73436e-08,0.0458,8.79159e-07,0.0316,7.63897e-07,0.0293,,8.736106092086332e-08,0.030894339166531403,8.79085080429518e-07,0.027523027016571694,7.638909117996491e-07,0.02786316188094448,0.019991070740528076,-0.008407986551015085,-0.000796992310597099
SR-U-UN-G1-C1-N_concrete_40cm_D10m.i,10.0,25.5476,40.0,C1,N,concrete,2.0028e-08,0.0297,2.01876e-07,0.0269,1.74528e-07,0.0278,,2.0032787293336215e-08,0.026463411473909716,2.0187644293718189e-07,0.025993258151743467,1.745342483302834e-07,0.02729307760969891,0.02390300247760895,0.0002194105202623901,0.003580130571242599
SR-U-UN-G1-C1-N_concrete_40cm_D20m.i,20.0,25.5476,40.0,C1,N,concrete,4.75196e-09,0.0208,4.8438e-08,0.0203,4.16999e-08,0.0217,,4.753470952401946e-09,0.019955901938565068,4.844168353222551e-08,0.019992696947475658,4.170389134088966e-08,0.021526691903660168,0.03179640405109916,0.007604633191933392,0.009571583839925984
SR-U-UN-G1-C1-N_concrete_40cm_D50m.i,50.0,25.5476,40.0,C1,N,concrete,6.98278e-10,0.0264,7.09972e-09,0.025,6.00347e-09,0.0297,,6.985646551992001e-10,0.02595162147438901,7.099557607092138e-09,0.024834928931274133,6.003498613549859e-09,0.02962952044195637,0.04105172999866511,-0.002287314258340778,0.00047661685423079126
SR-U-UN-G1-C1-N_concrete_40cm_D100m.i,100.0,25.5476,40.0,C1,N,concrete,1.48701e-10,0.0267,1.53345e-09,0.0246,1.2964e-09,0.0304,,1.487497852121598e-10,0.026373973556580596,1.5336527686171671e-09,0.024420774571537077,1.2965548454308468e-09,0.03036242756241014,0.0328075884895277,0.013223034149611314,0.011944263409962992
